player,position,lane_agility,shuttle_run,three_quarter_sprint,standing_vertical,max_vertical,bench_press,season,body_fat,hand_length,hand_width,height_shoes,standing_reach,weight,wingspan
Malik Allen,PF-C,11.83,,3.38,25.5,29.0,13,2000.0,,,,,109.0,271.0,86.5
Harold Arceneaux,SG-SF,13.80,,,,29.0,0,2000.0,,,,,103.0,219.0,80.5
Lamont Barnes,PF-C,12.30,,3.40,28.0,29.5,10,2000.0,,,,,108.0,235.5,87.5
Mario Bland,PF,13.04,,3.47,27.0,31.0,15,2000.0,,,,,103.0,287.0,84.0
Primoz Brezec,C,11.53,,3.55,26.0,29.5,,2000.0,,,,,110.0,243.0,86.0
Ernest Brown,C,,,,,,2,2000.0,,,,,109.5,222.5,85.25
Speedy Claxton,PG,10.48,,3.06,36.0,42.5,6,2000.0,,,,,94.5,166.0,72.0
Eric Coley,SG-SF,11.40,,3.15,35.0,38.0,10,2000.0,,,,,102.0,205.0,83.0
Ed Cota,PG,10.98,,3.24,26.5,33.5,1,2000.0,,,,,96.5,189.0,76.0
Schea Cotton,SF,11.55,,3.00,34.0,38.0,19,2000.0,,,,,100.0,219.5,79.0
Jamal Crawford,PG-SG,,,,,,0,2000.0,,,,,102.5,175.0,82.0
Caswell Cyrus,PF,12.12,,3.16,33.5,37.5,18,2000.0,,,,,107.5,220.5,86.0
Khalid El-Amin,PG,10.59,,3.32,27.5,32.0,6,2000.0,,,,,93.0,200.0,73.5
Vassil Evtimov,PF,11.75,,3.52,21.0,28.5,13,2000.0,,,,,106.5,262.0,82.5
Antonis Fotsis,SF,11.60,,3.44,27.0,30.0,2,2000.0,,,,,106.0,219.0,80.5
Eddie Gill,PG,11.12,,3.18,35.0,38.5,13,2000.0,,,,,93.0,176.0,76.0
Ceedric Goodwyn,SF-PF,,,,,,,2000.0,,,,,104.5,238.0,82.0
Marcus Goree,SF-PF,12.00,,3.25,29.5,33.5,13,2000.0,,,,,105.5,239.0,84.5
A.J. Granger,SF,10.73,,3.25,30.0,34.0,20,2000.0,,,,,103.0,227.0,81.5
A.J. Guyton,PG-SG,10.55,,3.22,33.0,37.5,9,2000.0,,,,,97.5,175.0,75.75
Ron Hale,SG-SF,12.58,,3.20,29.5,34.5,11,2000.0,,,,,104.5,202.0,83.0
Jason Hart,PG,11.70,,3.34,29.5,33.5,9,2000.0,,,,,97.5,181.0,78.0
Donnell Harvey,PF,11.23,,,33.0,32.5,15,2000.0,,,,,105.5,220.0,84.5
Johnny Hemsley,SG-SF,11.50,,3.19,31.5,35.0,5,2000.0,,,,,100.5,200.0,80.0
Michael Hermon,SG-PG,11.79,,3.25,29.0,33.0,0,2000.0,,,,,98.5,195.0,78.25
Cory Hightower,SG-SF,11.92,,3.37,29.5,34.5,0,2000.0,,,,,101.5,183.0,83.0
Shaheen Holloway,PG,11.22,,3.32,,,6,2000.0,,,,,91.0,174.0,70.0
Eddie House,SG-PG,11.12,,3.27,29.5,38.5,5,2000.0,,,,,95.0,176.5,75.5
Jimmie Hunter,SG-PG,11.23,,3.35,29.0,36.0,0,2000.0,,,,,100.0,170.0,80.0
Jacob Jaacks,PF,11.48,,3.58,26.0,32.0,3,2000.0,,,,,105.5,238.0,83.0
Marko Jaric,SG-SF,11.32,,3.28,27.5,33.0,,2000.0,,,,,104.0,210.0,81.0
Nate Johnson,SF,11.90,,3.33,27.0,33.5,13,2000.0,,,,,104.0,211.5,80.5
Kenyon Jones,PF-C,12.44,,3.60,28.5,30.0,20,2000.0,,,,,108.0,282.0,85.0
Mark Karcher,SG,11.51,,3.40,27.5,30.5,12,2000.0,,,,,102.5,218.0,80.0
Brandon Kurtz,PF-C,,,,,,7,2000.0,,,,,106.5,257.0,83.25
Dan Langhi,SF,10.85,,3.24,31.0,34.5,12,2000.0,,,,,104.0,197.5,80.0
Justin Love,PG-SG,10.99,,3.31,31.0,38.5,24,2000.0,,,,,97.5,205.5,76.5
Mark Madsen,PF,12.12,,3.46,30.5,33.5,13,2000.0,,,,,104.5,236.5,84.5
Dan McClintock,C-PF,11.52,,3.33,33.0,35.0,20,2000.0,,,,,107.0,250.0,85.5
Pete Mickeal,SG-SF,10.83,,3.06,28.0,34.5,8,2000.0,,,,,103.5,222.0,81.5
Brian Montonati,PF,11.85,,3.53,25.0,29.0,5,2000.0,,,,,106.0,215.0,82.5
Gabe Muoneke,PF-SF,11.00,,3.40,30.5,34.0,22,2000.0,,,,,105.0,244.0,84.5
Ndongo N'diaye,C,13.16,,3.69,24.5,27.5,4,2000.0,,,,,112.5,208.0,87.5
Eduardo Najera,PF-SF,11.38,,3.45,28.0,35.0,15,2000.0,,,,,104.5,234.5,83.5
Matthew Nielsen,PF,11.28,,3.35,26.0,29.0,3,2000.0,,,,,106.0,223.0,82.5
Chris Porter,SF-PF,10.93,,3.20,28.5,35.0,6,2000.0,,,,,103.5,214.0,81.5
Lavor Postell,SG,11.79,,3.30,33.5,36.5,17,2000.0,,,,,101.5,205.0,80.5
Igor Rakocevic,PG,10.40,,3.10,27.5,34.0,9,2000.0,,,,,100.0,184.0,77.25
Reed Rawlings,SG-SF,11.10,,3.27,28.5,33.5,13,2000.0,,,,,104.0,218.0,81.25
Michael Redd,SG-SF,12.06,,3.34,27.0,31.0,12,2000.0,,,,,102.0,214.0,81.0
Damon Reed,PF-C,11.21,,3.31,27.5,31.5,4,2000.0,,,,,104.5,228.0,81.5
Aubrey Reese,PG,11.13,,3.25,31.5,37.5,14,2000.0,,,,,94.5,189.0,77.5
Terrance Roberson,SF,11.66,,,29.0,32.5,11,2000.0,,,,,103.5,209.0,80.0
Julius Doc Robinson,PG,12.54,,3.41,30.0,37.5,0,2000.0,,,,,95.5,184.0,75.75
Pepe Sanchez,PG,11.62,,3.44,26.0,31.0,8,2000.0,,,,,96.0,194.0,75.5
Matt Santangelo,PG,10.66,,3.06,33.5,43.0,12,2000.0,,,,,94.0,177.0,75.0
Alex Scales,SG-PG,10.98,,3.21,38.5,42.5,10,2000.0,,,,,97.5,184.5,81.0
Karim Shabazz,C,12.72,,3.36,24.5,28.0,2,2000.0,,,,,111.5,224.0,87.0
Nick Sheppard,PF-C,12.14,,3.52,23.5,25.5,18,2000.0,,,,,107.5,273.0,83.0
Mike Smith,SF,11.32,,3.22,33.0,21.0,12,2000.0,,,,,103.0,198.0,80.5
Jabari Smith,PF-C,12.45,,3.43,24.5,30.0,15,2000.0,,,,,109.5,240.5,86.5
Jarrett Stephens,PF,11.98,,3.46,27.0,29.0,13,2000.0,,,,,103.0,258.0,81.25
Bootsy Thornton,SG,12.08,,3.33,26.5,31.0,7,2000.0,,,,,101.5,194.5,78.5
Jaquay Walls,PG,10.75,,3.23,28.5,35.5,0,2000.0,,,,,96.5,165.5,74.5
Jameel Watkins,PF-C,12.38,,3.45,28.0,30.5,11,2000.0,,,,,110.0,244.5,90.0
Adam Allenspach,C,11.90,,3.40,28.5,31.0,16,2001.0,12.4,,,,107.0,259.0,84.5
Gilbert Arenas,SG,,,3.25,31.5,36.0,12,2001.0,5.3,,,,99.5,199.0,81.5
Brandon Armstrong,SG,10.91,,3.20,30.0,37.0,6,2001.0,9.3,,,,99.5,188.0,81.5
Shane Battier,SF-PF,10.95,,3.30,29.5,33.0,12,2001.0,9.3,,,,105.0,229.0,82.5
Cookie Belcher,SG-PG,11.26,,2.91,35.0,41.5,7,2001.0,5.3,,,,99.0,206.0,80.5
Charlie Bell,PG,10.59,,3.12,31.5,38.0,15,2001.0,6.7,,,,97.5,200.0,79.5
Ruben Boumtje-Boumtje,C,11.84,,3.33,26.5,31.0,6,2001.0,6.0,,,,111.0,245.0,88.0
Calvin Bowman,PF,11.96,,3.21,28.5,34.5,7,2001.0,8.6,,,,104.0,214.0,83.5
Michael Bradley,PF,11.11,,3.35,27.0,30.0,13,2001.0,9.3,,,,107.0,227.0,85.5
Jamison Brewer,PG,9.65,,3.15,26.0,32.5,12,2001.0,6.7,,,,102.5,178.0,80.75
Kwame Brown,PF-C,11.59,,3.45,30.0,33.0,17,2001.0,8.9,,,,108.0,243.0,85.0
Damone Brown,SF,11.81,,3.27,32.0,37.0,6,2001.0,6.7,,,,104.5,202.0,83.75
SirValiant Brown,PG,11.23,,3.00,31.0,39.5,10,2001.0,6.7,,,,92.5,176.0,76.0
Ryan Carroll,SF-SG,11.00,,3.10,34.5,39.0,14,2001.0,8.0,,,,99.0,202.0,80.25
Tyson Chandler,SF-PF,12.13,,3.36,31.0,33.5,2,2001.0,6.7,,,,110.0,224.0,87.0
Eric Chenowith,C,12.50,,3.59,23.5,27.5,6,2001.0,12.9,,,,111.0,264.0,88.0
Sam Clancy,PF,11.47,,3.13,31.0,34.0,15,2001.0,8.0,,,,107.0,242.0,86.75
