year,player_id,name,position,age,team,games_played,games_started,minutes_played,points,made_field_goals,attempted_field_goals,made_three_pointers,attempted_three_pointers,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,player_id_2,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player
2000,abdulta01,Tariq Abdul-Wahad,Position.SHOOTING_GUARD,25,Team.ORLANDO_MAGIC,46,46,1205,563,223,515,2,21,115,151,77,162,72,53,16,87,116,abdulta01,14.4,0.484,0.041,0.293,7.0,14.6,10.8,9.7,2.2,0.9,13.0,23.3,0.4,1.6,2.0,0.082,-1.0,0.2,-0.8,0.4
2000,abdulta01,Tariq Abdul-Wahad,Position.SHOOTING_GUARD,25,Team.DENVER_NUGGETS,15,10,373,134,51,131,1,2,31,42,24,28,26,6,12,19,31,abdulta01,10.8,0.448,0.015,0.321,6.9,8.2,7.6,11.0,0.8,2.2,11.3,19.7,0.0,0.2,0.2,0.023,-1.7,-0.9,-2.5,0.0
2000,abdursh01,Shareef Abdur-Rahim,Position.SMALL_FORWARD,23,Team.VANCOUVER_GRIZZLIES,82,82,3223,1663,594,1277,29,96,446,551,218,607,271,89,87,249,244,abdursh01,20.2,0.547,0.075,0.431,8.0,22.7,15.3,15.5,1.5,1.9,14.1,25.0,6.2,2.6,8.8,0.132,2.6,-0.4,2.2,3.4
2000,alexaco01,Cory Alexander,Position.POINT_GUARD,26,Team.DENVER_NUGGETS,29,2,329,82,28,98,9,35,17,22,8,34,58,24,2,28,39,alexaco01,8.8,0.381,0.357,0.224,2.6,11.3,6.9,25.7,3.7,0.4,20.6,18.0,-0.5,0.4,-0.1,-0.012,-4.1,1.8,-2.4,0.0
2000,allenra02,Ray Allen*,Position.SHOOTING_GUARD,24,Team.MILWAUKEE_BUCKS,82,82,3070,1809,642,1411,172,407,353,398,83,276,308,110,19,183,187,allenra02,20.6,0.57,0.288,0.282,3.2,10.5,6.8,17.0,1.9,0.5,10.3,25.6,9.0,1.0,10.1,0.157,4.7,-1.1,3.6,4.3
2000,alstora01,Rafer Alston,Position.POINT_GUARD,23,Team.MILWAUKEE_BUCKS,27,0,361,60,27,95,3,14,3,4,5,18,70,12,0,29,29,alstora01,4.3,0.31,0.147,0.042,1.6,5.8,3.7,26.8,1.7,0.0,23.1,15.5,-0.7,0.0,-0.7,-0.095,-5.0,-2.3,-7.3,-0.5
2000,amaecjo01,John Amaechi,Position.CENTER,29,Team.ORLANDO_MAGIC,80,53,1684,836,306,700,1,6,223,291,62,204,95,35,37,139,161,amaecjo01,13.2,0.505,0.009,0.416,4.0,13.2,8.6,9.1,1.0,1.5,14.4,24.1,0.6,1.8,2.4,0.067,-1.8,-0.8,-2.5,-0.2
2000,anderde01,Derek Anderson,Position.SHOOTING_GUARD,25,Team.LOS_ANGELES_CLIPPERS,64,58,2201,1080,377,860,55,178,271,309,80,178,220,90,11,167,149,anderde01,16.9,0.542,0.207,0.359,3.9,9.3,6.5,17.9,2.1,0.3,14.4,23.4,3.1,0.3,3.3,0.073,1.2,-1.2,-0.1,1.1
2000,anderke01,Kenny Anderson,Position.POINT_GUARD,29,Team.BOSTON_CELTICS,82,82,2593,1149,434,986,85,220,196,253,55,170,420,139,8,130,230,anderke01,17.4,0.524,0.223,0.257,2.3,7.9,4.9,26.7,2.7,0.2,10.6,20.5,5.4,1.9,7.3,0.136,1.7,0.1,1.8,2.5
2000,anderni01,Nick Anderson,Position.SHOOTING_GUARD,32,Team.SACRAMENTO_KINGS,72,72,2094,781,306,782,132,397,37,76,83,256,123,94,16,95,118,anderni01,11.8,0.479,0.508,0.097,4.1,12.8,8.4,8.6,2.2,0.5,10.4,18.1,0.3,2.5,2.8,0.064,-0.6,0.3,-0.3,0.9
2000,andersh01,Shandon Anderson,Position.SMALL_FORWARD,26,Team.HOUSTON_ROCKETS,82,82,2700,1009,368,778,79,225,194,253,91,293,239,96,32,194,182,andersh01,13.8,0.567,0.289,0.325,3.9,11.9,8.0,14.3,1.8,0.8,17.9,17.6,3.0,1.9,4.9,0.087,-0.3,-0.2,-0.5,1.1
2000,anstech01,Chris Anstey,Position.CENTER,25,Team.CHICAGO_BULLS,73,11,1007,439,161,364,1,6,116,147,90,190,65,29,25,80,180,anstech01,15.1,0.512,0.016,0.404,10.3,22.5,16.3,13.2,1.5,1.8,15.7,23.1,0.6,1.3,1.9,0.09,-2.1,-0.1,-2.3,-0.1
2000,anthogr01,Greg Anthony,Position.POINT_GUARD,32,Team.PORTLAND_TRAIL_BLAZERS,82,3,1548,514,169,416,88,233,88,114,17,116,208,59,9,85,143,anthogr01,13.0,0.551,0.56,0.274,1.4,8.4,5.1,20.5,2.0,0.4,15.4,16.4,2.3,1.8,4.1,0.128,0.4,0.8,1.2,1.2
2000,armstbj01,B.J. Armstrong,Position.POINT_GUARD,32,Team.CHICAGO_BULLS,27,18,583,201,83,186,13,29,22,25,2,45,78,7,1,40,34,armstbj01,10.7,0.51,0.156,0.134,0.4,9.2,4.7,26.5,0.6,0.1,16.9,18.6,0.2,0.2,0.4,0.03,-1.8,-2.0,-3.8,-0.3
2000,armstda01,Darrell Armstrong,Position.POINT_GUARD,31,Team.ORLANDO_MAGIC,82,82,2590,1330,484,1119,137,403,225,247,65,205,501,169,9,248,137,armstda01,19.5,0.542,0.36,0.221,2.7,8.6,5.7,31.4,3.2,0.2,16.8,23.9,4.6,3.4,8.0,0.149,3.6,0.9,4.5,4.3
2000,atkinch01,Chucky Atkins,Position.POINT_GUARD,25,Team.ORLANDO_MAGIC,82,0,1626,782,314,741,57,163,97,133,20,106,306,52,3,142,137,atkinch01,14.4,0.489,0.22,0.179,1.3,7.1,4.2,30.9,1.6,0.1,15.1,24.3,1.1,1.3,2.4,0.072,0.6,-1.4,-0.8,0.5
2000,augmost01,Stacey Augmon,Position.SHOOTING_GUARD,31,Team.PORTLAND_TRAIL_BLAZERS,59,0,692,203,83,175,0,2,37,55,42,74,53,27,11,38,69,augmost01,12.2,0.51,0.011,0.314,7.5,12.0,9.9,11.9,2.1,1.2,16.0,15.8,0.5,1.0,1.5,0.102,-1.5,1.0,-0.5,0.3
2000,austiis01,Isaac Austin,Position.CENTER,30,Team.WASHINGTON_WIZARDS,59,23,1173,397,151,352,1,4,94,137,64,218,74,17,38,107,128,austiis01,10.2,0.481,0.011,0.389,6.2,21.7,13.8,10.0,0.8,2.3,20.6,19.6,-0.9,0.9,0.0,0.001,-3.1,-0.1,-3.2,-0.4
2000,aventan01,Anthony Avent,Position.POWER_FORWARD,30,Team.LOS_ANGELES_CLIPPERS,49,3,377,81,29,96,0,0,23,32,23,51,11,16,15,24,62,aventan01,5.5,0.368,0.0,0.333,6.6,15.6,10.9,4.5,2.2,2.7,17.9,15.8,-0.7,0.2,-0.5,-0.065,-6.9,-0.5,-7.4,-0.5
2000,averywi01,William Avery,Position.POINT_GUARD,20,Team.MINNESOTA_TIMBERWOLVES,59,1,484,154,56,181,18,63,24,36,8,32,88,14,2,42,60,averywi01,6.7,0.391,0.348,0.199,1.9,7.8,4.8,26.2,1.5,0.3,17.6,22.3,-0.8,0.3,-0.5,-0.046,-4.3,-2.0,-6.3,-0.5
2000,baileto01,Toby Bailey,Position.SHOOTING_GUARD,24,Team.PHOENIX_SUNS,46,2,449,163,58,140,2,10,45,65,26,46,30,13,4,24,55,baileto01,10.8,0.483,0.071,0.464,6.6,11.2,8.9,10.3,1.5,0.6,12.5,18.9,0.2,0.6,0.8,0.088,-3.0,-0.1,-3.1,-0.1
2000,bakervi01,Vin Baker,Position.CENTER,28,Team.SEATTLE_SUPERSONICS,79,75,2849,1311,514,1129,2,8,281,412,227,378,148,47,66,213,288,bakervi01,14.0,0.5,0.007,0.365,8.6,14.7,11.6,8.6,0.8,1.6,14.0,23.6,1.2,2.2,3.5,0.059,-1.6,-1.5,-3.0,-0.7
2000,barklch01,Charles Barkley*,Position.POWER_FORWARD,36,Team.HOUSTON_ROCKETS,20,18,620,289,106,222,6,26,71,110,71,138,63,14,4,44,48,barklch01,19.8,0.534,0.117,0.495,13.1,24.4,18.9,17.3,1.2,0.4,14.0,22.3,1.3,0.6,1.9,0.148,2.5,-0.5,2.0,0.6
2000,barroda01,Dana Barros,Position.POINT_GUARD,32,Team.BOSTON_CELTICS,72,0,1139,517,196,435,59,144,66,76,13,86,133,31,4,66,80,barroda01,15.1,0.552,0.331,0.175,1.2,9.1,5.0,19.4,1.4,0.3,12.3,20.4,2.0,0.5,2.4,0.103,1.7,-1.4,0.3,0.7
2000,barrybr01,Brent Barry,Position.SHOOTING_GUARD,28,Team.SEATTLE_SUPERSONICS,80,74,2726,945,327,707,164,399,127,157,50,322,291,103,31,142,228,barrybr01,14.6,0.609,0.564,0.222,2.0,13.1,7.5,16.0,1.9,0.8,15.5,14.9,4.9,2.5,7.5,0.131,1.0,0.9,1.8,2.6
2000,barrydr01,Drew Barry,Position.POINT_GUARD,26,Team.GOLDEN_STATE_WARRIORS,8,0,85,22,9,18,3,9,1,2,0,8,17,2,0,6,14,barrydr01,10.1,0.583,0.5,0.111,0.0,10.5,4.9,30.7,1.2,0.0,24.1,12.3,0.1,0.0,0.1,0.055,-3.0,-0.6,-3.6,0.0
2000,barrydr01,Drew Barry,Position.POINT_GUARD,26,Team.ATLANTA_HAWKS,8,0,74,19,6,15,4,9,3,3,0,4,16,0,0,7,9,barrydr01,8.8,0.582,0.6,0.2,0.0,5.9,3.0,32.0,0.0,0.0,30.0,14.0,0.1,0.0,0.0,0.027,-2.1,-4.0,-6.1,-0.1
2000,barryjo01,Jon Barry,Position.SHOOTING_GUARD,30,Team.SACRAMENTO_KINGS,62,1,1281,495,161,346,66,154,107,116,38,121,150,75,7,85,104,barryjo01,15.9,0.623,0.445,0.335,3.1,9.9,6.5,16.7,2.8,0.4,17.6,15.7,2.6,1.6,4.2,0.157,0.8,2.0,2.8,1.5
2000,battito01,Tony Battie,Position.CENTER,23,Team.BOSTON_CELTICS,82,4,1505,541,219,459,1,8,102,151,152,258,63,47,70,67,249,battito01,15.1,0.515,0.017,0.329,10.9,20.6,15.5,6.7,1.6,3.5,11.3,17.1,2.0,1.7,3.8,0.12,-1.3,-0.1,-1.4,0.2
2000,bendejo01,Jonathan Bender,Position.SMALL_FORWARD,19,Team.INDIANA_PACERS,24,1,130,64,23,70,2,12,16,24,4,17,3,1,5,7,18,bendejo01,7.6,0.397,0.171,0.343,3.6,14.1,9.1,3.9,0.4,2.5,8.0,30.6,-0.3,0.1,-0.2,-0.074,-7.5,-3.1,-10.6,-0.3
