year,player,affiliation,overall_pick,position,lane_agility,shuttle_run,sprint,standing_leap,max_leap,bench_press,body_fat,hand_length,hand_width,height_no_shoes,height_shoes,reach,weight,wingspan,assist_percentage,assists,block_percentage,blocks,box_plus_minus,conference,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goals,free_throw_attempt_rate,free_throw_attempt,free_throw_percentage,free_throws,minutes_played,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,win_shares,player_id,classification
2000,A.J. Guyton,Indiana,32,G,10.55,3.04,3.22,33.0,37.5,9.0,6.39,8.46,9.1,72.75,76.12,97.5,175.0,75.75,,68,,13,,big-ten,,,0.541,444,204,0.257,114,0.789,90,995.0,,,27.0,570,,29,0.387,172,0.419,72,,90,0.5720000000000001,12.2,69.0,272,0.485,132,,4.3,aj-guyton-1,Exclude
2007,Aaron Brooks,Oregon,26,G,10.57,3.04,3.2,32.5,39.5,6.0,2.7,8.46,9.1,70.0,71.75,94.0,161.0,76.0,24.0,149,0.3,6,,pac-10,,118.0,0.546,463,213,0.294,136,0.846,115,1289.0,,31.0,88.0,621,,48,0.428,198,0.40399999999999997,80,7.0,149,0.589,14.4,89.0,265,0.502,133,24.4,5.7,aaron-brooks-1,Role Player
2014,Aaron Gordon,Arizona,4,F,10.81,2.76,3.27,32.5,39.0,11.36,5.05,8.75,10.5,79.5,80.75,105.0,220.1,83.75,13.0,75,3.4,39,9.6,pac-12,19.3,201.0,0.516,382,189,0.47100000000000003,180,0.42200000000000004,76,1187.0,10.4,102.0,90.0,470,1.8,34,0.11800000000000001,45,0.35600000000000004,16,14.9,303,0.503,10.5,55.0,337,0.513,173,23.2,5.4,aaron-gordon-1,Starter
2007,Aaron Gray,Pittsburgh,49,C,12.07,3.1,3.7,27.0,32.5,17.0,10.8,9.12,9.86,84.0,85.75,108.5,271.0,87.25,,61,,62,,big-east,,221.0,0.565,361,204,0.46,166,0.5479999999999999,91,1016.0,,120.0,91.0,499,,15,0.0,0,,0,,341,0.5670000000000001,11.1,55.0,361,0.565,204,,6.8,aaron-gray-1,Bust
2018,Aaron Holiday,California-Los Angeles,23,G,10.96,3.22,3.27,25.5,33.0,8.78,6.4,8.75,8.5,71.75,72.75,97.0,187.0,79.5,29.9,192,0.7,8,6.2,pac-12,8.7,104.0,0.557,460,212,0.41700000000000004,192,0.828,159,1244.0,1.6,17.0,87.0,671,1.9,42,0.446,205,0.429,88,5.3,121,0.609,18.5,125.0,255,0.486,124,26.7,4.9,aaron-holiday-1,Exclude
2016,Abdel Nader,Iowa State,58,F,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,8.0,54,2.1,23,4.5,big-12,14.3,148.0,0.555,337,161,0.315,106,0.736,78,1088.0,2.9,26.0,98.0,452,1.9,37,0.415,140,0.371,52,9.0,174,0.583,16.9,79.0,197,0.5529999999999999,109,21.5,2.8,abdel-nader-1,Exclude
2007,Acie Law,Texas A&M,11,G,11.0,3.04,3.22,29.0,34.0,8.0,5.6,8.46,9.1,74.0,75.5,98.0,186.0,78.5,30.8,169,0.1,1,,big-12,,105.0,0.544,432,216,0.428,185,0.778,144,1153.0,,8.0,83.0,614,,39,0.192,83,0.45799999999999996,38,6.0,113,0.591,14.5,88.0,349,0.51,178,27.8,5.9,acie-law-1,Exclude
2006,Adam Morrison,Gonzaga,3,F,11.46,3.1,3.37,25.5,30.5,11.0,6.8,8.95,9.59,78.5,79.75,105.0,198.0,82.0,,56,,11,,wcc,,135.0,0.556,617,306,0.504,311,0.772,240,1205.0,,47.0,66.0,926,,35,0.28,173,0.428,74,,182,0.605,9.0,76.0,444,0.523,232,,6.8,adam-morrison-1,Exclude
2014,Adreian Payne,Michigan State,15,F,11.46,3.1,3.3,29.41,34.23,11.36,7.55,9.25,9.5,81.0,81.75,109.0,238.5,88.0,10.2,41,3.8,28,6.6,big-ten,22.9,177.0,0.565,354,178,0.39,138,0.79,109,870.0,6.8,48.0,80.0,509,1.0,15,0.294,104,0.423,44,15.2,225,0.607,13.1,63.0,250,0.536,134,28.9,4.3,adreian-payne-1,Exclude
2007,Al Horford,Florida,3,F,12.15,3.1,3.37,31.0,35.5,20.0,9.1,8.95,9.59,80.0,81.75,107.0,246.0,84.75,,82,,70,,sec,,264.0,0.608,306,186,0.66,202,0.644,130,1057.0,,96.0,94.0,502,,28,0.006999999999999999,2,0.0,0,,360,0.624,14.5,68.0,304,0.612,186,,7.5,al-horford-1,Starter
