season,player_name,pro_id,cbb_id
2000,Kenyon Martin,martike01,kenyon-martin-1
2000,Stromile Swift,swiftst01,stromile-swift-1
2000,Darius Miles,milesda01,
2000,Marcus Fizer,fizerma01,marcus-fizer-1
2000,Mike Miller,millemi01,mike-miller-1
2000,DerMarr Johnson,johnsde03,dermarr-johnson-1
2000,Chris Mihm,mihmch01,chris-mihm-1
2000,Jamal Crawford,crawfja01,jamal-crawford-1
2000,Joel Przybilla,przybjo01,joel-przybilla-1
2000,Keyon Dooling,doolike01,keyon-dooling-1
2000,Jérôme Moïso,moisoje01,jerome-moiso-1
2000,Etan Thomas,thomaet01,etan-thomas-1
2000,Courtney Alexander,alexaco02,courtney-alexander-1
2000,Mateen Cleaves,cleavma01,mateen-cleaves-1
2000,Jason Collier,collija02,jason-collier-1
2000,Hedo Türkoğlu,turkohe01,
2000,Desmond Mason,masonde01,desmond-mason-1
2000,Quentin Richardson,richaqu01,quentin-richardson-1
2000,Jamaal Magloire,magloja01,jamaal-magloire-1
2000,Speedy Claxton,claxtsp01,speedy-claxton-1
2000,Morris Peterson,petermo01,morris-peterson-1
2000,Donnell Harvey,harvedo01,donnell-harvey-1
2000,DeShawn Stevenson,stevede01,
2000,Dalibor Bagarić,bagarda01,
2000,Jake Tsakalidis,tsakaja01,
2000,Mamadou N'Diaye,ndiayma02,mamadou-ndiaye-1
2000,Primož Brezec,brezepr01,
2000,Erick Barkley,barkler01,erick-barkley-1
2000,Mark Madsen,madsema01,mark-madsen-1
2000,Marko Jarić,jaricma01,
2000,Dan Langhi,langhda01,dan-langhi-1
2000,A.J. Guyton,guytoaj01,aj-guyton-1
2000,Jake Voskuhl,voskuja01,jake-voskuhl-1
2000,Khalid El-Amin,elamikh01,khalid-el-amin-1
2000,Mike Smith,smithmi03,mike-smith-1
2000,Soumaila Samake,samakso01,
2000,Eddie House,houseed01,eddie-house-1
2000,Eduardo Nájera,najered01,eduardo-najera-1
2000,Lavor Postell,postela01,lavor-postell-1
2000,Hanno Möttölä,mottoha01,hanno-mottola-1
2000,Olumide Oyedeji,oyedeol01,
2000,Michael Redd,reddmi01,michael-redd-1
2000,Brian Cardinal,cardibr01,brian-cardinal-1
2000,Jabari Smith,smithja01,jabari-smith-1
2000,Jason Hart,hartja01,jason-hart-1
2000,Kaniel Dickens,dickeka01,kaniel-dickens-1
2000,Igor Rakočević,rakocig01,
2000,Ernest Brown,browner01,
2000,Dan McClintock,mcclida01,dan-mcclintock-1
2000,Chris Porter,portech01,chris-porter-1
2001,Kwame Brown,brownkw01,
2001,Tyson Chandler,chandty01,
2001,Pau Gasol,gasolpa01,
2001,Eddy Curry,curryed01,
2001,Jason Richardson,richaja01,jason-richardson-1
2001,Shane Battier,battish01,shane-battier-1
2001,Eddie Griffin,griffed01,eddie-griffin-1
2001,DeSagana Diop,diopde01,
2001,Rodney White,whitero02,rodney-white-1
2001,Joe Johnson,johnsjo02,joe-johnson-1
2001,Kedrick Brown,brownke01,
2001,Vladimir Radmanović,radmavl01,
2001,Richard Jefferson,jefferi01,richard-jefferson-1
2001,Troy Murphy,murphtr01,troy-murphy-1
2001,Steven Hunter,huntest01,steven-hunter-1
2001,Kirk Haston,hastoki01,kirk-haston-1
2001,Michael Bradley,bradlmi01,michael-bradley-1
2001,Jason Collins,collija04,jason-collins-1
2001,Zach Randolph,randoza01,zach-randolph-1
2001,Brendan Haywood,haywobr01,brendan-haywood-1
2001,Joseph Forte,fortejo01,joseph-forte-1
2001,Jeryl Sasser,sasseje01,jeryl-sasser-1
2001,Brandon Armstrong,armstbr01,brandon-armstrong-1
2001,Raül López,lopezra01,
2001,Gerald Wallace,wallage01,gerald-wallace-1
2001,Samuel Dalembert,dalemsa01,samuel-dalembert-1
2001,Jamaal Tinsley,tinslja01,jamaal-tinsley-1
2001,Tony Parker,parketo01,
2001,Trenton Hassell,hassetr01,trenton-hassell-1
2001,Gilbert Arenas,arenagi01,gilbert-arenas-1
2001,Omar Cook,cookom01,omar-cook-1
2001,Will Solomon,solomwi01,will-solomon-1
2001,Terence Morris,morrite01,terence-morris-1
2001,Brian Scalabrine,scalabr01,brian-scalabrine-1
2001,Jeff Trepagnier,trepaje01,jeff-trepagnier-1
2001,Damone Brown,brownda02,damone-brown-1
2001,Mehmet Okur,okurme01,
2001,Earl Watson,watsoea01,earl-watson-1
2001,Jamison Brewer,breweja01,jamison-brewer-1
2001,Bobby Simmons,simmobo01,bobby-simmons-1
2001,Sean Lampley,lamplse01,sean-lampley-1
2001,Loren Woods,woodslo01,loren-woods-1
2001,Antonis Fotsis,fotsian01,
2001,Ken Johnson,johnske03,ken-johnson-2
2001,Ruben Boumtje-Boumtje,boumtru01,ruben-boumtje-boumtje-1
2001,Alton Ford,fordal02,alton-ford-1
2001,Jarron Collins,collija03,jarron-collins-1
2001,Kenny Satterfield,satteke01,kenny-satterfield-1
2001,Robertas Javtokas,javtoro01,robertas-javtokas-1
2001,Alvin Jones,jonesal01,alvin-jones-1
2002,Yao Ming,mingya01,
2002,Jay Williams,willija03,jay-williams-1
