year,player,team,affiliation,round,round_pick,overall_pick,position,lane_agility,shuttle_run,sprint,standing_leap,max_leap,bench_press,body_fat,hand_length,hand_width,height_no_shoes,height_shoes,reach,weight,wingspan,player_id
2000,A.J. Guyton,Chicago Bulls,Indiana,2,3,32,G,10.55,3.04,3.22,33.0,37.5,9,6.39,8.46,9.1,72.75,76.12,97.5,175.0,75.75,guytoaj01
2016,AJ Hammons,Dallas Mavericks,Purdue,2,16,46,NA,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,
2009,AJ Price,Indiana Pacers,Connecticut,2,22,52,NA,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,
2007,Aaron Brooks,Houston Rockets,Oregon,1,26,26,G,10.57,3.04,3.20,32.5,39.5,6,2.70,8.46,9.1,70.0,71.75,94.0,161.0,76.0,brookaa01
2014,Aaron Gordon,Orlando Magic,Arizona,1,4,4,F,10.81,2.76,3.27,32.5,39.0,11.36,5.05,8.75,10.50,79.5,80.75,105.0,220.1,83.75,gordoaa01
2007,Aaron Gray,Chicago Bulls,Pittsburgh,2,19,49,C,12.07,3.1,3.70,27.0,32.5,17,10.80,9.12,9.86,84.0,85.75,108.5,271.0,87.25,grayaa01
2018,Aaron Holiday,Indiana Pacers,California-Los Angeles,1,23,23,G,10.96,3.22,3.27,25.5,33.0,8.78,6.40,8.75,8.50,71.75,72.75,97.0,187.0,79.5,holidaa01
2015,Aaron White,Washington Wizards,Iowa,2,19,49,NA,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,
2016,Abdel Nader,Boston Celtics,Iowa State,2,28,58,F,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,naderab01
2007,Acie Law,Atlanta Hawks,Texas A&M,1,11,11,G,11.00,3.04,3.22,29.0,34.0,8,5.60,8.46,9.1,74.0,75.5,98.0,186.0,78.5,lawac01
