player_id,season,assist_percentage,assists,block_percentage,blocks,box_plus_minus,conference,defensive_box_plus_minus,defensive_rebound_percentage,defensive_rebounds,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,games_played,games_started,height,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_rebounds,offensive_win_shares,personal_fouls,player_efficiency_rating,points,points_produced,position,steal_percentage,steals,team_abbreviation,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,weight,win_shares,win_shares_per_40_minutes
kenyon-martin-1,1996-97,,10,,24,,cusa,,,,1.5,0.65,40,0.65,26,0.8,32,0.313,10,22,,9-Jun,233,,,,0.3,51,,62,,Center,,14,cincinnati,0,0,,0,,74,0.562,22.5,16,40,0.65,26,,234,1.8,0.316
kenyon-martin-1,1997-98,,41,,83,,cusa,,,,5,0.626,198,0.626,124,0.53,105,0.476,50,30,,9-Jun,,,,,2,,,298,,Center,,30,cincinnati,0.005,1,0,0,,267,0.601,,,197,0.629,124,,234,7,
kenyon-martin-1,1998-99,,49,,78,,cusa,,,,4.8,0.573,248,0.573,142,0.359,89,0.562,50,33,,9-Jun,900,,,,2,109,,334,,Center,,37,cincinnati,0.004,1,0,0,,228,0.575,18.8,67,247,0.575,142,,234,6.8,0.303
kenyon-martin-1,1999-00,,42,,107,,cusa,,,,5.1,0.571,389,0.568,221,0.53,206,0.684,141,31,,9-Jun,909,,,,3.9,71,,585,,Center,,43,cincinnati,0.018,7,0.286,2,,300,0.601,10.3,56,382,0.573,219,,234,9,0.398
stromile-swift-1,1998-99,,5,,35,,sec,,,,0.8,0.414,110,0.409,45,0.455,50,0.6,30,16,,9-Jun,319,,,,-0.1,43,,121,,Forward,,15,louisiana-state,0.073,8,0.125,1,,69,0.452,25.6,46,102,0.431,44,,225,0.7,0.089
stromile-swift-1,1999-00,,32,,95,,sec,,,,4.3,0.618,342,0.608,208,0.602,206,0.617,127,34,,9-Jun,1013,,,,4.2,88,,550,,Forward,,50,louisiana-state,0.073,25,0.28,7,,279,0.625,15.4,80,317,0.634,201,,225,8.5,0.334
marcus-fizer-1,1997-98,,19,,27,,big-12,,,,1.1,0.474,365,0.474,173,0.449,164,0.616,101,30,25,9-Jun,,,,,1.1,,,447,,Forward,,32,iowa-state,0.005,2,0,0,,202,0.505,15.3,80,363,0.477,173,,262,2.3,
marcus-fizer-1,1998-99,,34,,23,,big-12,,,,2.6,0.457,422,0.45,190,0.493,208,0.736,153,30,29,9-Jun,961,,,,1.9,78,,539,,Forward,,29,iowa-state,0.066,28,0.214,6,,229,0.517,11.5,68,394,0.467,184,,262,4.5,0.188
marcus-fizer-1,1999-00,,41,,39,,big-12,,,,3.4,0.595,562,0.582,327,0.425,239,0.732,175,37,37,9-Jun,1243,,,,6.2,103,,844,,Forward,,29,iowa-state,0.075,42,0.357,15,,285,0.625,10.2,77,520,0.6,312,,262,9.6,0.308
mike-miller-1,1998-99,,58,,7,,sec,,,,0.9,0.56,233,0.494,115,0.489,114,0.702,80,28,,8-Jun,677,,,,2.1,52,,341,,Forward,,35,florida,0.373,87,0.356,31,,146,0.594,19.4,69,146,0.575,84,,218,3,0.178
mike-miller-1,1999-00,,91,,15,,sec,,,,2.5,0.539,368,0.476,175,0.462,170,0.729,124,37,,8-Jun,1058,,,,2.9,70,,521,,Forward,,46,florida,0.378,139,0.338,47,,243,0.581,13.7,71,229,0.559,128,,218,5.4,0.204
dermarr-johnson-1,1999-00,,45,,30,,cusa,,,,2.2,0.567,293,0.478,140,0.324,95,0.737,70,32,,9-Jun,879,,,,2.6,64,,402,,Guard,,31,cincinnati,0.478,140,0.371,52,,123,0.594,12,46,153,0.575,88,,201,4.8,0.218
chris-mihm-1,1997-98,,14,,90,,big-12,,,,1.3,0.517,288,0.514,148,0.462,133,0.647,86,31,,Jul-00,,,,,1.5,,,384,,Center,,12,texas,0.038,11,0.182,2,,248,0.547,,,277,0.527,146,,265,2.8,
chris-mihm-1,1998-99,,19,,84,,big-12,,,,3.7,0.449,321,0.449,144,0.679,218,0.683,149,32,,Jul-00,1027,,,,1.4,90,,437,,Center,,13,texas,0.012,4,0,0,,351,0.515,15.5,78,317,0.454,144,,265,5.1,0.2
chris-mihm-1,1999-00,,22,,90,,big-12,,,,4.2,0.532,394,0.523,206,0.589,232,0.707,164,33,,Jul-00,1014,,,,3.4,90,,583,,Center,,11,texas,0.038,15,0.467,7,,346,0.578,13.8,81,379,0.525,199,,265,7.7,0.302
jamal-crawford-1,1999-00,,76,,16,,big-ten,,,,0.2,0.476,255,0.412,105,0.2,51,0.784,40,17,,6-Jun,577,,,,0.7,19,,283,,Guard,,19,michigan,0.396,101,0.327,33,,47,0.507,16,53,154,0.468,72,,185,0.9,0.065
joel-przybilla-1,1998-99,,41,,84,,big-ten,,,,2.2,0.56,141,0.56,79,0.369,52,0.577,30,28,,1-Jul,713,,,,1.1,89,,188,,Center,,16,minnesota,0,0,,0,,163,0.567,27.9,64,141,0.56,79,,255,3.3,0.182
joel-przybilla-1,1999-00,,50,,81,,big-ten,,,,1.3,0.613,199,0.613,122,0.558,111,0.495,55,21,,1-Jul,638,,,,1.9,61,,299,,Center,,17,minnesota,0,0,,0,,176,0.594,23.4,77,199,0.613,122,,255,3.2,0.199
keyon-dooling-1,1998-99,,85,,12,,big-12,,,,1.5,0.482,170,0.459,78,0.647,110,0.718,79,28,,3-Jun,676,,,,1.2,47,,243,,Guard,,32,missouri,0.165,28,0.286,8,,58,0.547,19.8,55,142,0.493,70,,196,2.7,0.161
keyon-dooling-1,1999-00,,113,,17,,big-12,,,,1.6,0.468,373,0.389,145,0.448,167,0.743,124,31,,3-Jun,983,,,,1.7,56,,473,,Guard,,44,missouri,0.456,170,0.347,59,,84,0.523,14.9,79,203,0.424,86,,196,3.3,0.135
jerome-moiso-1,1998-99,,26,,26,,pac-10,,,,2.1,0.494,269,0.487,131,0.29,78,0.615,48,29,,10-Jun,689,,,,0.9,83,,314,,Forward,,24,ucla,0.059,16,0.25,4,,169,0.513,14.8,53,253,0.502,127,,235,3,0.173
jerome-moiso-1,1999-00,,40,,55,,pac-10,,,,2.4,0.503,339,0.501,170,0.419,142,0.613,87,33,,10-Jun,972,,,,1.5,93,,428,,Forward,,37,ucla,0.018,6,0.167,1,,252,0.527,17.8,88,333,0.508,169,,235,3.8,0.158
etan-thomas-1,1996-97,,3,,48,,big-east,,,,1.8,0.534,103,0.534,55,0.689,71,0.465,33,25,,9-Jun,408,,,,0.5,58,,143,,Center,,9,syracuse,0,0,,0,,105,0.523,19.4,33,103,0.534,55,,256,2.3,0.224
etan-thomas-1,1997-98,,15,,138,,big-east,,,,3.7,0.61,236,0.61,144,0.754,178,0.612,109,35,,9-Jun,,,,,2.9,,,397,,Center,,27,syracuse,0,0,,0,,230,0.619,,,236,0.61,144,,256,6.5,
etan-thomas-1,1998-99,,17,,131,,big-east,,,,4.4,0.617,240,0.617,148,0.792,190,0.574,109,33,,9-Jun,913,,,,3,92,,405,,Center,,27,syracuse,0,0,,0,,243,0.613,14.5,56,240,0.617,148,,256,7.3,0.321
etan-thomas-1,1999-00,,16,,107,,big-east,,,,4.4,0.602,246,0.602,148,0.593,146,0.678,99,29,,9-Jun,940,,,,3,92,,395,,Center,,22,syracuse,0,0,,0,,269,0.626,15.8,59,246,0.602,148,,256,7.4,0.314
courtney-alexander-1,1995-96,,36,,9,,acc,,,,1.1,0.517,302,0.487,147,0.272,82,0.768,63,27,,5-Jun,727,,,,1.8,57,,375,,Guard,,20,fresno-state,0.116,35,0.514,18,,122,0.55,11.9,46,267,0.483,129,,205,2.9,0.158
courtney-alexander-1,1996-97,,37,,1,,acc,,,,0.8,0.479,338,0.42,142,0.234,79,0.759,60,26,,5-Jun,732,,,,1.2,50,,384,,Guard,,20,fresno-state,0.266,90,0.444,40,,70,0.511,7.6,31,248,0.411,102,,205,2,0.107
courtney-alexander-1,1998-99,,82,,7,,wac,,,,1,0.513,563,0.469,264,0.249,140,0.757,106,32,,5-Jun,1023,,,,2.7,32,,684,,Guard,,50,fresno-state,0.281,158,0.316,50,,121,0.543,10.8,76,405,0.528,214,,205,3.7,0.144
courtney-alexander-1,1999-00,,94,,4,,wac,,,,0.8,0.498,564,0.447,252,0.243,137,0.781,107,27,,5-Jun,974,,,,2.3,61,,669,,Guard,,37,fresno-state,0.31,175,0.331,58,,128,0.532,9.6,67,389,0.499,194,,205,3,0.125
mateen-cleaves-1,1996-97,,146,,4,,big-ten,,,,1.1,0.433,277,0.401,111,0.285,79,0.722,57,29,,2-Jun,750,,,,0.4,61,,297,,Guard,,17,michigan-state,0.274,76,0.237,18,,73,0.472,27.1,117,201,0.463,93,,205,1.6,0.083
mateen-cleaves-1,1997-98,,217,,6,,big-ten,,,,2.6,0.463,403,0.4,161,0.392,158,0.703,111,30,,2-Jun,,,,,1.5,,,484,,Guard,,73,michigan-state,0.377,152,0.336,51,,75,0.506,,,251,0.438,110,,205,4.1,
mateen-cleaves-1,1998-99,,274,,2,,big-ten,,,,2.6,0.459,392,0.406,159,0.276,108,0.787,85,38,,2-Jun,1185,,,,1.5,76,,445,,Guard,,69,michigan-state,0.367,144,0.292,42,,62,0.502,24.1,141,248,0.472,117,,205,4.1,0.138
mateen-cleaves-1,1999-00,,179,,4,,big-ten,,,,1.8,0.483,259,0.421,109,0.332,86,0.756,65,26,,2-Jun,820,,,,1.4,57,,315,,Guard,,36,michigan-state,0.328,85,0.376,32,,46,0.525,24.1,95,174,0.443,77,,205,3.2,0.155
jason-collier-1,1996-97,,24,,34,,big-ten,,,,1.4,0.446,258,0.434,112,0.453,117,0.684,80,33,,Jul-00,778,,,,0.6,76,,310,,Center,,16,georgia-tech,0.05,13,0.462,6,,188,0.494,18.7,72,245,0.433,106,,260,2,0.105
jason-collier-1,1997-98,,9,,9,,big-ten,,,,0.2,0.563,64,0.563,36,0.563,36,0.667,24,9,,Jul-00,,,,,0.6,,,96,,Center,,6,georgia-tech,0,0,,0,,47,0.592,,,64,0.563,36,,260,0.8,
jason-collier-1,1998-99,,36,,34,,acc,,,,0.9,0.487,347,0.441,153,0.369,128,0.719,92,25,,Jul-00,849,,,,1.6,87,,430,,Center,,15,georgia-tech,0.259,90,0.356,32,,182,0.527,17.7,88,257,0.471,121,,260,2.5,0.117
jason-collier-1,1999-00,,49,,33,,acc,,,,1.7,0.515,376,0.473,178,0.441,166,0.735,122,30,,Jul-00,975,,,,2.5,80,,509,,Center,,23,georgia-tech,0.223,84,0.369,31,,276,0.56,17.4,96,292,0.503,147,,260,4.2,0.173
desmond-mason-1,1996-97,,22,,10,,big-12,,,,0.3,0.438,138,0.377,52,0.268,37,0.622,23,32,12,7-Jun,539,,,,0,45,,144,,Forward,,13,oklahoma-state,0.377,52,0.327,17,,80,0.463,21.3,42,86,0.407,35,,224,0.4,0.027
desmond-mason-1,1997-98,,45,,19,,big-12,,,,2.9,0.562,299,0.525,157,0.411,123,0.699,86,29,29,7-Jun,947,,,,2.5,75,,422,,Forward,,51,oklahoma-state,0.231,69,0.319,22,,223,0.59,11.6,47,230,0.587,135,,224,5.4,0.226
